Anime,URL,Tags
Castlevania Season 4,https://www.anime-planet.com/anime/castlevania-season-4,
Horimiya,https://www.anime-planet.com/anime/horimiya,
Doukyuusei,https://www.anime-planet.com/anime/doukyuusei,
The Founder of Diabolism Q,https://www.anime-planet.com/anime/the-founder-of-diabolism-q,
Dou Po Cangqiong: San Nian Zhi Yue,https://www.anime-planet.com/anime/dou-po-cangqiong-san-nian-zhi-yue,
Great Teacher Onizuka,https://www.anime-planet.com/anime/great-teacher-onizuka,
Rurouni Kenshin: Tsuiokuhen,https://www.anime-planet.com/anime/rurouni-kenshin-tsuiokuhen,
Kizumonogatari Part 3: Reiketsu,https://www.anime-planet.com/anime/kizumonogatari-part-3-reiketsu,
Cyberpunk: Edgerunners,https://www.anime-planet.com/anime/cyberpunk-edgerunners,
Given Movie,https://www.anime-planet.com/anime/given-movie,
Natsume's Book of Friends Season 6 Specials,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-6-specials,
Fruits Basket 1st Season,https://www.anime-planet.com/anime/fruits-basket-1st-season,
Mob Psycho 100,https://www.anime-planet.com/anime/mob-psycho-100,
Violet Evergarden: Eternity and the Auto Memory Doll,https://www.anime-planet.com/anime/violet-evergarden-eternity-and-the-auto-memory-doll,
Dr. Stone: New World - Part II,https://www.anime-planet.com/anime/dr-stone-new-world-part-ii,
Ranking of Kings,https://www.anime-planet.com/anime/ranking-of-kings,
Your lie in April,https://www.anime-planet.com/anime/your-lie-in-april,
The Rising of the Shield Hero,https://www.anime-planet.com/anime/the-rising-of-the-shield-hero,
Kamisama Kiss 2nd Season,https://www.anime-planet.com/anime/kamisama-kiss-2nd-season,
Bungo Stray Dogs 3rd Season,https://www.anime-planet.com/anime/bungo-stray-dogs-3rd-season,
Haikyuu!! Movie 4: Battle of Concepts,https://www.anime-planet.com/anime/haikyuu-movie-4-battle-of-concepts,
Blue Lock,https://www.anime-planet.com/anime/blue-lock,
Vinland Saga Season 2,https://www.anime-planet.com/anime/vinland-saga-season-2,
The Garden of Sinners Movie 5: Paradox Paradigm,https://www.anime-planet.com/anime/the-garden-of-sinners-movie-5-paradox-paradigm,
Dr. Stone: Stone Wars,https://www.anime-planet.com/anime/dr-stone-stone-wars,
To Your Eternity,https://www.anime-planet.com/anime/to-your-eternity,
Mushishi: Hihamukage,https://www.anime-planet.com/anime/mushishi-hihamukage,
Steins;Gate Movie: Load Region of Deja Vu,https://www.anime-planet.com/anime/steins-gate-movie-load-region-of-deja-vu,
Kuroko's Basketball 2,https://www.anime-planet.com/anime/kurokos-basketball-2,
Haikyuu!! Movie 3: Talent and Sense,https://www.anime-planet.com/anime/haikyuu-movie-3-talent-and-sense,
Bakuman. 3,https://www.anime-planet.com/anime/bakuman-3,
Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,https://www.anime-planet.com/anime/haikyuu-tokushuu-harukou-volley-ni-kaketa-seishun,
Bunny Drop,https://www.anime-planet.com/anime/bunny-drop,
Death Note,https://www.anime-planet.com/anime/death-note,
Fate/Zero 2,https://www.anime-planet.com/anime/fate-zero-2,
One Piece,https://www.anime-planet.com/anime/one-piece,
Natsume's Book of Friends Movie: Ephemeral Bond,https://www.anime-planet.com/anime/natsumes-book-of-friends-movie-ephemeral-bond,
JoJo's Bizarre Adventure: Stone Ocean - Part III,https://www.anime-planet.com/anime/jojos-bizarre-adventure-stone-ocean-part-iii,
