Anime,URL,Tags,Alts
punchnellobluehawaii,https://www.anime-planet.com/anime/punchnello-blue-hawaii,['Korean Animation'],
megpatronryuuseigirl,https://www.anime-planet.com/anime/meg-and-patron-ryuusei-girl,[],
remakeourliferecap,https://www.anime-planet.com/anime/remake-our-life-recap,"['Comedy', 'Romance', 'Adult Couples', 'College', 'Mature Romance', 'Recap', 'School Life', 'Time Travel', 'Video Game Industry', 'Based on a Light Novel']","
Alt title: Bokutachi no Remake Soushuuhen
"
yurumateswa,https://www.anime-planet.com/anime/yurumates-wa,"['Comedy', 'Seinen', 'Slice of Life', 'Boarding House', 'Chibi', 'Neighbors', 'Based on a 4-Koma Manga', 'Based on a Manga']",
tenamonyavoyagers,https://www.anime-planet.com/anime/tenamonya-voyagers,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Mecha', 'Sci Fi', 'Outer Space', 'Real Robot', 'Original Work']",
taiseikensetsuvietnamnoibaikuukou,https://www.anime-planet.com/anime/taisei-kensetsu-vietnam-noi-bai-kuukou,"['Slice of Life', 'Commercials', 'Promotional', 'Work Life']",
duelmasterscross,https://www.anime-planet.com/anime/duel-masters-cross,"['Shounen', 'Card Battles', 'Family Friendly', 'Based on a Manga', 'CG Animation']",
uneasinessandtriangle,https://www.anime-planet.com/anime/uneasiness-and-triangle,"['Abstract', 'No Dialogue', 'Shorts']",
eveningcinemawagamama,https://www.anime-planet.com/anime/evening-cinema-wagamama,"['Dancing', 'CG Animation']",
akakichinoeleven,https://www.anime-planet.com/anime/akakichi-no-eleven,"['Shounen', 'Sports', 'Soccer', 'Based on a Manga']",
thegirlintwilight,https://www.anime-planet.com/anime/the-girl-in-twilight,"['Action', 'Drama', 'Sci Fi', 'Original Work']","
Alt title: Akanesasu Shoujo
"
timebokan,https://www.anime-planet.com/anime/time-bokan,"['Adventure', 'Comedy', 'Mecha', 'Sci Fi', 'Time Travel']",
23exetyfw,https://www.anime-planet.com/anime/23-exe-tyfw,"['Vocaloid', 'CG Animation']",
ohayouhakushondaimaouzip,https://www.anime-planet.com/anime/ohayou-hakushon-daimaou-zip,"['Comedy', 'Genies', 'Parody', 'Short Episodes', 'Flash Animation']",
acrowiswhitefakefake,https://www.anime-planet.com/anime/a-crow-is-white-fake-fake,['Abstract'],
hitorinoshitatheoutcastrecap,https://www.anime-planet.com/anime/hitori-no-shita-the-outcast-recap,"['Action', 'Martial Arts', 'Recap', 'Supernatural', 'Superpowers', 'Vampires', 'Violence', 'Based on a Manga']",
cyberteaminakihabara,https://www.anime-planet.com/anime/cyberteam-in-akihabara,"['Action', 'Ecchi', 'Magical Girl', 'Magic', 'Original Work']","
Alt title: Akihabara Dennou Gumi
"
nozoxkimi,https://www.anime-planet.com/anime/nozo-x-kimi,"['Comedy', 'Ecchi', 'Romance', 'Shounen', 'Blackmail', 'Neighbors', 'Based on a Manga']",
yumenoukiyonisaitemina,https://www.anime-planet.com/anime/yume-no-ukiyo-ni-saitemina,['Music'],
rebirthspecial,https://www.anime-planet.com/anime/rebirth-special,"['Comedy', 'Chibi', 'Shorts', 'VTubers', 'Based on a Card Game']",
mtvultrahitswildcleanerid,https://www.anime-planet.com/anime/mtv-ultrahits-wild-cleaner-id,"['Abstract', 'Promotional', 'Station Identifications', 'CG Animation']",
ishifuroryuunotanitotaiyounotoride,https://www.anime-planet.com/anime/ishifuro-ryuu-no-tani-to-taiyou-no-toride,"['Black and White', 'Vocaloid']",
