Anime,URL,Tags,Alts
umimonogatarifaithfulhearts,https://www.anime-planet.com/anime/umi-monogatari-faithful-hearts,"['Fantasy', 'Island', 'Iyashikei', 'Ocean', 'Siblings', 'Based on a Video Game']","
Alt title: Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro
"
swordofthestrangerpilot,https://www.anime-planet.com/anime/sword-of-the-stranger-pilot,"['Action', 'Historical', 'Samurai', 'Swordplay', 'Violence']","
Alt title: Stranger: Mukou Hadan Pilot
"
yuujinakadadeeper,https://www.anime-planet.com/anime/yuuji-nakada-deeper,"['Romance', 'Abstract']",
lasthope,https://www.anime-planet.com/anime/last-hope,"['Action', 'Mecha', 'Sci Fi', 'Post-apocalyptic', 'Transforming Mecha', 'Violence', 'Original Work']","
Alt title: Juushinki Pandora
"
aruotokonoikikata,https://www.anime-planet.com/anime/aru-otoko-no-ikikata,"['America', 'Promotional', 'Shorts']",
totowindy,https://www.anime-planet.com/anime/toto-windy,['Abstract'],
tpazolitetobidasetothecosmic,https://www.anime-planet.com/anime/tpazolite-tobidase-to-the-cosmic,"['Sci Fi', 'Animal Characteristics']",
hamefuracatarinanounaikaigi,https://www.anime-planet.com/anime/hamefura-catarina-nounai-kaigi,"['Comedy', 'Fantasy', 'Chibi', 'Short Episodes', 'Villainess', 'Based on a Light Novel']","
Alt title: HameFura: Catarina's Brain Conference
"
rilakkumakorilakkumanoyanchanamainichi,https://www.anime-planet.com/anime/rilakkuma-korilakkuma-no-yancha-na-mainichi,"['Animal Protagonists', 'Bears', 'No Dialogue', 'Non-Human Protagonists', 'Promotional', 'San-X Characters', 'Shorts']",
natsutosuisei27th,https://www.anime-planet.com/anime/natsu-to-suisei-27th,"['Romance', 'Abstract', 'Art', 'Black and White', 'Psychological']",
bokuwashitteruyo,https://www.anime-planet.com/anime/boku-wa-shitteru-yo,"['Slice of Life', 'Dogs', 'Promotional', 'Shorts']","
Alt title: I know.
"
akaiyamaaoiyamashiroiyama,https://www.anime-planet.com/anime/akai-yama-aoi-yama-shiroi-yama,['Minna no Uta'],"
Alt title: Minna no Uta: Akai Yama Aoi Yama Shiroi Yama
"
chibikkocowboy,https://www.anime-planet.com/anime/chibikko-cowboy,"['Black and White', 'Minna no Uta', 'Western']","
Alt title: Minna no Uta: Chibikko Cowboy
"
dragonballzsummervacationspecial,https://www.anime-planet.com/anime/dragon-ball-z-summer-vacation-special,"['Comedy', 'Shounen']",
soicantplayhrecap,https://www.anime-planet.com/anime/so-i-cant-play-h-recap,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Recap', 'Supernatural', 'Nudity', 'Based on a Light Novel']","
Alt title: Dakara Boku wa H ga Dekinai Recap
"
thehouseofgreed,https://www.anime-planet.com/anime/the-house-of-greed,"['Horror', 'No Dialogue', 'Shorts', 'Violence']",
oresamadramatic,https://www.anime-planet.com/anime/oresama-dramatic,[],
whiteeeenaiutasince2007,https://www.anime-planet.com/anime/whiteeeen-ai-uta-since-2007,[],
deco27kanchigaiseihankiboushou,https://www.anime-planet.com/anime/deco27-kanchigaisei-han-kiboushou,"['Romance', 'Vocaloid']","
Alt title: DECO*27: Pseudo-Hope Syndrome
"
okamikakushimasqueofthewolf,https://www.anime-planet.com/anime/okamikakushi-masque-of-the-wolf,"['Horror', 'Mystery', 'Lifestyle Change', 'Psychological', 'Supernatural', 'Thriller', 'Violence', 'Based on a Visual Novel']","
Alt title: Okamikakushi
"
thedaggerofkamui,https://www.anime-planet.com/anime/the-dagger-of-kamui,"['Action', 'Adventure', '19th Century', 'Historical', 'Ninja', 'Revenge', 'Violence', 'Based on a Novel']","
Alt title: Kamui no Ken
"
littleelcidnobouken,https://www.anime-planet.com/anime/little-el-cid-no-bouken,"['Adventure', '11th Century', 'Europe', 'Historical', 'Medieval']","
Alt title: Adventures of Little El Cid
"
talesofcrestoriathewakeofsin,https://www.anime-planet.com/anime/tales-of-crestoria-the-wake-of-sin,"['Action', 'Fantasy', 'Based on a Mobile Game', 'CG Animation']","
Alt title: Tales of Crestoria: Toga Waga wo Shoite Kare wa Tatsu
"
keinasudasetsunanouzu,https://www.anime-planet.com/anime/keina-suda-setsuna-no-uzu,"['Cars', 'Vocaloid']",
musefollowme,https://www.anime-planet.com/anime/muse-follow-me,"['Slice of Life', 'Black and White']",
teekyuu8,https://www.anime-planet.com/anime/teekyuu-8,"['Comedy', 'Shounen', 'Gag', 'School Club', 'School Life', 'Short Episodes', 'Based on a Manga']",
terraformarseartharc,https://www.anime-planet.com/anime/terra-formars-earth-arc,"['Action', 'Horror', 'Sci Fi', 'Seinen', 'Human Experimentation', 'Insects', 'Superpowers', 'Nudity', 'Based on a Manga']",
ringotoshoujo,https://www.anime-planet.com/anime/ringo-to-shoujo,"['Abstract', 'No Dialogue', 'Shorts']","
Alt title: The Apple and the Girl
"
onikudaisukizeushikun,https://www.anime-planet.com/anime/oniku-daisuki-zeushi-kun,"['Comedy', 'Food and Beverage', 'Short Episodes']",
gundambuilddiversprologue,https://www.anime-planet.com/anime/gundam-build-divers-prologue,"['Mecha', 'Sci Fi', 'Shorts']",
flyinglotusmore,https://www.anime-planet.com/anime/flying-lotus-more,"['Sci Fi', 'Non-Human Protagonists', 'Robots']",
sekainoheiwawawatashigamamoru,https://www.anime-planet.com/anime/sekai-no-heiwa-wa-watashi-ga-mamoru,"['Action', 'Comedy', 'Fantasy', 'Magical Girl', 'No Dialogue', 'Parody', 'Superheroes', 'Tokusatsu', 'Vigilantes']",
ateliereschalogyalchemistsofthedusksky,https://www.anime-planet.com/anime/atelier-escha-and-logy-alchemists-of-the-dusk-sky,"['Adventure', 'Fantasy', 'Based on a Video Game']","
Alt title: Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi
"
rizelmine,https://www.anime-planet.com/anime/rizelmine,"['Comedy', 'Ecchi', 'Romance', 'Sci Fi', 'Shounen', 'School Life', 'Sudden Girlfriend Appearance', 'Nudity', 'Based on a Manga']",
gallforce4rheagallforce,https://www.anime-planet.com/anime/gall-force-4-rhea-gall-force,"['Action', 'Sci Fi', 'Cyborgs', 'Post-apocalyptic', 'Original Work']",
pokemonpikachuswintervacation2001,https://www.anime-planet.com/anime/pokemon-pikachus-winter-vacation-2001,"['Fantasy', 'Family Friendly', 'Monsters', 'Based on a Video Game']","
Alt title: Pokemon: Pichu to Pikachu no Fuyuyasumi 2001
"
tongariboushinomemoru,https://www.anime-planet.com/anime/tongari-boushi-no-memoru,"['Fantasy', 'Aliens', 'Family Friendly']","
Alt title: Wee Wendy
"
rahxephontsubasanokiokumemory,https://www.anime-planet.com/anime/rahxephon-tsubasa-no-kioku-memory,"['Action', 'Mecha', 'Sci Fi', 'Recap', 'Original Work']",
cyborg009kaijuusensou,https://www.anime-planet.com/anime/cyborg-009-kaijuu-sensou,"['Action', 'Sci Fi', 'Shounen', 'Cyborgs', 'Robots', 'Based on a Manga']","
Alt title: Cyborg 009 and the Monster Wars
"
humanorchestra,https://www.anime-planet.com/anime/human-orchestra,"['Abstract', 'No Dialogue', 'Shorts']",
spiritwarrior2,https://www.anime-planet.com/anime/spirit-warrior-2,"['Action', 'Horror', 'Demons', 'Based on a Manga']","
Alt title: Shin Kujakuou
"
fategrandorderepicofremnantpseudosingularityiieventpv,https://www.anime-planet.com/anime/fate-grand-order-epic-of-remnant-pseudo-singularity-ii-event-pv,"['Action', 'Fantasy', 'Sci Fi', 'Promotional']",
rockmanhoshininegaiwo,https://www.anime-planet.com/anime/rockman-hoshi-ni-negai-wo,"['Action', 'Adventure', 'Sci Fi', 'Educational', 'Non-Human Protagonists', 'Person in a Strange World', 'Robots', 'Based on a Video Game']","
Alt title: Megaman: Upon a Star
"
ojiichangakaizokudattakoro,https://www.anime-planet.com/anime/ojiichan-ga-kaizoku-datta-koro,"['Comedy', 'Fantasy', 'Historical', 'Ocean', 'Pirates', 'Ship', 'Shorts', 'Stop Motion Animation']",
ohmygoddesstheadventuresofminigoddess,https://www.anime-planet.com/anime/oh-my-goddess-the-adventures-of-mini-goddess,"['Comedy', 'Fantasy', 'Chibi', 'Gods', 'Magic', 'Non-Human Protagonists', 'Short Episodes', 'Based on a Manga']","
Alt title: Ah! Megami-sama!: Chichaitte Koto wa Benri da ne
"
mottainai,https://www.anime-planet.com/anime/mottainai,"['Slice of Life', 'Promotional', 'Shorts', 'Original Work']",
magicalgirllyricalnanohastrikerspicturedrama,https://www.anime-planet.com/anime/magical-girl-lyrical-nanoha-strikers-picture-drama,"['Comedy', 'Parody', 'Picture Drama', 'School Life']",
searoar,https://www.anime-planet.com/anime/sea-roar,"['Abstract', 'Shorts']","
Alt title: Umi no Uta
"
sugaikuntokazokuishixbluenotetokyohen,https://www.anime-planet.com/anime/sugai-kun-to-kazoku-ishi-x-blue-note-tokyo-hen,"['Commercials', 'Promotional', 'Showbiz', 'Flash Animation']",
deco27lightlag,https://www.anime-planet.com/anime/deco-27-light-lag,['Romance'],
lunavarga,https://www.anime-planet.com/anime/luna-varga,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Body Sharing', 'Dinosaurs', 'Magic', 'Swordplay', 'Nudity', 'Based on a Light Novel']","
Alt title: Majuu Senshi Luna Varga
"
stratos4ovastratos41dutchroll,https://www.anime-planet.com/anime/stratos-4-ova-stratos-41-dutch-roll,"['Action', 'Comedy', 'Sci Fi', 'Aviation', 'Combining Mecha', 'Parody']",
arigatou2010,https://www.anime-planet.com/anime/arigatou-2010,"['Family Friendly', 'Minna no Uta']","
Alt title: Minna no Uta: Arigatou (2010)
"
peekaboo,https://www.anime-planet.com/anime/peek-a-boo,"['Slice of Life', 'Shorts', 'Original Work']","
Alt title: Inaiinaibaaba
"
tokyotribe2,https://www.anime-planet.com/anime/tokyo-tribe-2,"['Action', 'Seinen', 'Gangs', 'Explicit Sex', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Based on a Manga']",
punchnelloyerinbaeknagseo,https://www.anime-planet.com/anime/punchnello-and-yerin-baek-nagseo,"['Romance', 'Korean Animation']","
Alt title: Punchnello & Yerin Baek: Doodle
"
kaitouyumenosuke,https://www.anime-planet.com/anime/kaitou-yumenosuke,"['Family Friendly', 'Magic', 'Minna no Uta']","
Alt title: Minna no Uta: Kaitou Yumenosuke
"
canadaryuugakuniikutonazebusninaruka,https://www.anime-planet.com/anime/canada-ryuugaku-ni-iku-to-naze-bus-ni-naru-ka,['Canada'],
hadakanbou,https://www.anime-planet.com/anime/hadakanbou,['Minna no Uta'],"
Alt title: Minna no Uta: Hadakanbou
"
nekonekogongshow,https://www.anime-planet.com/anime/neko-neko-gong-show,"['Comedy', 'Animal Protagonists', 'Anthropomorphic', 'Cats', 'Non-Human Protagonists', 'Short Episodes']","
Alt title: Cat Cat Gong Show
"
fategrandordercosmosinthelostbeltlostbeltno3eventpv,https://www.anime-planet.com/anime/fate-grand-order-cosmos-in-the-lostbelt-lostbelt-no-3-event-pv,"['Action', 'Fantasy', 'Sci Fi', 'Magic', 'Promotional']",
amazarashiantae,https://www.anime-planet.com/anime/amazarashi-anta-e,['CG Animation'],
30sainohokentaiiku,https://www.anime-planet.com/anime/30-sai-no-hoken-taiiku,"['Comedy', 'Ecchi', 'Gods', 'Non-Human Protagonists', 'Salaryman', 'Supernatural', 'Sexual Content', 'Based on a Light Novel']",
groizerx,https://www.anime-planet.com/anime/groizer-x,"['Mecha', 'Sci Fi', 'Aliens']",
garuda,https://www.anime-planet.com/anime/garuda,"['Action', 'Fantasy', 'No Dialogue', 'Shorts', 'Nudity']",
themissing8,https://www.anime-planet.com/anime/the-missing-8,"['Sci Fi', 'Androids', 'Non-Human Protagonists', 'Robots', 'Short Episodes']",
machineroborevengeofchronos,https://www.anime-planet.com/anime/machine-robo-revenge-of-chronos,"['Action', 'Mecha', 'Sci Fi', 'Aliens', 'Transforming Mecha', 'Original Work']","
Alt title: Machine Robo: Chronos no Dai Gyakushuu
"
triagexrecollectionxoxo,https://www.anime-planet.com/anime/triage-x-recollection-xoxo,"['Action', 'Ecchi', 'Shounen', 'Assassins', 'Vigilantes', 'Based on a Manga']",
allpurposeculturalcatgirlnukunukutv,https://www.anime-planet.com/anime/all-purpose-cultural-cat-girl-nuku-nuku-tv,"['Action', 'Comedy', 'Sci Fi', 'Seinen', 'Androids', 'Non-Human Protagonists', 'Robots', 'School Life', 'Based on a Manga']","
Alt titles: Bannou Bunka Neko-Musume (1998), Cat Girl Nuku Nuku TV
"
gasaraki,https://www.anime-planet.com/anime/gasaraki,"['Action', 'Mecha', 'Sci Fi', 'Military', 'Political', 'Original Work']",
tekkamanbladeburningclock,https://www.anime-planet.com/anime/tekkaman-blade-burning-clock,"['Action', 'Mecha', 'Sci Fi', 'Aliens', 'Original Work']","
Alt title: Uchuu no Kishi Tekkaman Blade: Moeta Tokei
"
yamataroukaeru,https://www.anime-planet.com/anime/yamatarou-kaeru,"['Fantasy', 'Shounen', 'Animal Protagonists', 'Bears', 'Non-Human Protagonists', 'Trains', 'Animal Abuse', 'Mature Themes', 'Based on a Manga']","
Alt title: Yamataro Comes Back
"
letmecheckthewalkthroughfirst,https://www.anime-planet.com/anime/let-me-check-the-walkthrough-first,"['Adventure', 'Drama', 'Fantasy', 'Chinese Animation', 'Person in a Strange World', 'CG Animation']","
Alt title: Zanting! Rang Wo Cha Gonglüe
"
holiday,https://www.anime-planet.com/anime/holiday,"['Shorts', 'Nudity']",
universe,https://www.anime-planet.com/anime/universe,['Fantasy'],
gumshaara,https://www.anime-planet.com/anime/gum-shaara,"['Family Friendly', 'Minna no Uta']","
Alt title: Minna no Uta: Gum Shaara
"
oedowanemurenai,https://www.anime-planet.com/anime/oedo-wa-nemurenai,"['Historical', 'Samurai', 'Shorts', 'Based on a Manga']",
tokimekimemorial,https://www.anime-planet.com/anime/tokimeki-memorial,"['Romance', 'School Life', 'Based on a Visual Novel']",
shamanicprincess,https://www.anime-planet.com/anime/shamanic-princess,"['Action', 'Fantasy', 'Contemporary Fantasy', 'Kidnapping', 'Magic', 'Mind Games', 'Person in a Strange World', 'Mature Themes', 'Physical Abuse', 'Original Work']",
11pikinonekotoahoudori,https://www.anime-planet.com/anime/11-piki-no-neko-to-ahoudori,"['Animal Protagonists', 'Cats', 'Non-Human Protagonists', 'Based on a Picture Book']","
Alt title: Eleven Cats and an Albatross
"
