Anime,URL,MAL_ID
Lunar Legend Tsukihime,https://www.anime-planet.com/anime/lunar-legend-tsukihime,169
Tactics,https://www.anime-planet.com/anime/tactics,173
Scryed,https://www.anime-planet.com/anime/scryed,168
Tokyo Underground,https://www.anime-planet.com/anime/tokyo-underground,175
Triangle Heart ~Sweet Songs Forever~,https://www.anime-planet.com/anime/triangle-heart-sweet-songs-forever,176
Tsubasa Reservoir Chronicle,https://www.anime-planet.com/anime/tsubasa-reservoir-chronicle,177
Ultra Maniac,https://www.anime-planet.com/anime/ultra-maniac,178
Ultra Maniac OVA,https://www.anime-planet.com/anime/ultra-maniac-ova,179
Vandread,https://www.anime-planet.com/anime/vandread,180
Vandread: The Second Stage,https://www.anime-planet.com/anime/vandread-the-second-stage,181
The Vision of Escaflowne,https://www.anime-planet.com/anime/the-vision-of-escaflowne,182
Akashic Records of Bastard Magic Instructor,https://www.anime-planet.com/anime/akashic-records-of-bastard-magic-instructor,32951
Scum's Wish,https://www.anime-planet.com/anime/scums-wish,32949
Initial D Second Stage,https://www.anime-planet.com/anime/initial-d-second-stage,186
Initial D Third Stage,https://www.anime-planet.com/anime/initial-d-third-stage,187
Whistle!,https://www.anime-planet.com/anime/whistle,183
Love Hina,https://www.anime-planet.com/anime/love-hina,189
Love Hina Again,https://www.anime-planet.com/anime/love-hina-again,190
Maburaho,https://www.anime-planet.com/anime/maburaho,193
Macross Zero,https://www.anime-planet.com/anime/macross-zero,194
Please Teacher,https://www.anime-planet.com/anime/please-teacher,195
Please Twins,https://www.anime-planet.com/anime/please-twins,196
Rizelmine,https://www.anime-planet.com/anime/rizelmine,197
Speed Grapher,https://www.anime-planet.com/anime/speed-grapher,198
Spirited Away,https://www.anime-planet.com/anime/spirited-away,199
Occultic;Nine,https://www.anime-planet.com/anime/occultic-nine,32962
Video Girl AI,https://www.anime-planet.com/anime/video-girl-ai,201
Wolf's Rain,https://www.anime-planet.com/anime/wolfs-rain,202
Cheeky Angel,https://www.anime-planet.com/anime/cheeky-angel,200
Samurai Champloo,https://www.anime-planet.com/anime/samurai-champloo,205
Record of Lodoss War: Chronicles of the Heroic Knight,https://www.anime-planet.com/anime/record-of-lodoss-war-chronicles-of-the-heroic-knight,206
Record of Lodoss War,https://www.anime-planet.com/anime/record-of-lodoss-war,207
Read Or Die TV,https://www.anime-planet.com/anime/read-or-die-tv,209
Ranma 1/2,https://www.anime-planet.com/anime/ranma-12,210
FLIP FLAPPERS,https://www.anime-planet.com/anime/flip-flappers,32979
Aggretsuko,https://www.anime-planet.com/anime/aggretsuko,32977
Hand Shakers,https://www.anime-planet.com/anime/hand-shakers,32981
Project A-Ko,https://www.anime-planet.com/anime/project-a-ko,212
Natsume's Book of Friends Season 5,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-5,32983
Welcome to Pia Carrot ~Sayaka's Love Story~,https://www.anime-planet.com/anime/welcome-to-pia-carrot-sayakas-love-story,216
