Anime,URL,Tags,Alts,id
20pundeoitsukeruattackontitan,https://www.anime-planet.com/anime/20-pun-de-oitsukeru-attack-on-titan,"['Action', 'Horror', 'Military', 'Post-apocalyptic', 'Recap', 'Based on a Manga']","
Alt title: 20-pun de Oitsukeru: Shingeki no Kyojin
",51241
21 Emon Uchuu e Irasshai!,https://www.anime-planet.com/anime/21-emon-uchuu-e-irasshai,"['Adventure', 'Comedy', 'Sci Fi']",,6073
21 Emon Sora ike! Hadashi no Princess,https://www.anime-planet.com/anime/21-emon-sora-ike-hadashi-no-princess,"['Sci Fi', 'Shounen', 'Family Friendly', 'Based on a Manga']",,6074
22/7,https://www.anime-planet.com/anime/22-7,"['Drama', 'Mystery', 'Idols', 'Music', 'Showbiz']","
Alt title: Nanabun no Nijyuuni
",40148
22/7: 8+3=?,https://www.anime-planet.com/anime/22-7-8-plus-3,"['Slice of Life', 'Idols', 'Music', 'Showbiz']",,40924
"25-Year-Old High School Girl, I Wouldn’t Do This with a Kid",https://www.anime-planet.com/anime/25-year-old-high-school-girl-i-wouldnt-do-this-with-a-kid,"['Josei', 'Adult Couples', 'Mature Romance', 'School Life', 'Short Episodes', 'Smut', 'Explicit Sex', 'Mature Themes', 'Based on a Manga']","
Alt title: 25-sai no Joshikousei
",36840
3-choume no Tama: Onegai! Momo-chan wo Sagashite!!,https://www.anime-planet.com/anime/3-choume-no-tama-onegai-momo-chan-wo-sagashite,"['Slice of Life', 'Animal Protagonists', 'Cats', 'Dogs', 'Family Friendly', 'Non-Human Protagonists', 'Pets']","
Alt title: TAMA of the 3rd District: Onegai! Momo-chan wo Sagashite!!
",12589
March Comes in like a Lion,https://www.anime-planet.com/anime/march-comes-in-like-a-lion,"['Drama', 'Seinen', 'Slice of Life', 'Board Games', 'Coming of Age', 'Death of a Loved One', 'Lifestyle Change', 'Loneliness', 'Melancholy', 'Mental Illness', 'Orphans', 'Psychological', 'Shogi', 'Based on a Manga']","
Alt title: 3-gatsu no Lion
",31646
March Comes in like a Lion 2nd Season,https://www.anime-planet.com/anime/march-comes-in-like-a-lion-2nd-season,"['Drama', 'Seinen', 'Slice of Life', 'Board Games', 'Melancholy', 'Orphans', 'Psychological', 'Shogi', 'Bullying', 'Emotional Abuse', 'Based on a Manga']","
Alt title: 3-gatsu no Lion 2nd Season
",35180
3-gatsu no Lion meets Bump of Chicken,https://www.anime-planet.com/anime/3-gatsu-no-lion-meets-bump-of-chicken,"['Orphans', 'Based on a Manga']","
Alt title: March Comes in like a Lion meets Bump of Chicken
",28789
