Anime,URL,Tags,Alts,MAL_ID
Cowboy Bebop,https://www.anime-planet.com/anime/cowboy-bebop,"['Action', 'Adventure', 'Drama', 'Sci Fi', 'Bounty Hunters', 'Episodic', 'Noir', 'Outer Space', 'Western', 'Mature Themes', 'Nudity', 'Violence', 'Original Work']",[''],1
Spirited Away,https://www.anime-planet.com/anime/spirited-away,"['Adventure', 'Fantasy', 'Child Protagonists', 'Curse', 'Family Friendly', 'Japanese Mythology', 'Magic', 'Person in a Strange World', 'Youkai', 'Original Work']",['Sen to Chihiro no Kamikakushi'],199
Neon Genesis Evangelion,https://www.anime-planet.com/anime/neon-genesis-evangelion,"['Drama', 'Mecha', 'Sci Fi', 'Conspiracy', 'Kaijuu', 'Loneliness', 'Melancholy', 'Military', 'Monsters', 'Post-apocalyptic', 'Psychological', 'Super Robot', 'Emotional Abuse', 'Explicit Violence', 'Mature Themes', 'Suicide', 'Original Work']",['Shinseiki Evangelion'],30
Tokyo Ghoul √A,https://www.anime-planet.com/anime/tokyo-ghoul-a,"['Action', 'Horror', 'Seinen', 'Psychological', 'Supernatural', 'Thriller', 'Cannibalism', 'Violence', 'Based on a Manga']",[''],27899
Code Geass: Lelouch of the Rebellion R2,https://www.anime-planet.com/anime/code-geass-lelouch-of-the-rebellion-r2,"['Mecha', 'Sci Fi', 'Conspiracy', 'Mind Games', 'Overpowered Main Characters', 'Political', 'Psychological', 'Real Robot', 'Rebellions', 'Rivalries', 'Royalty', 'Secret Identity', 'Superpowers', 'Terrorism', 'Original Work']",['Code Geass: Hangyaku no Lelouch R2'],2904
Death Parade,https://www.anime-planet.com/anime/death-parade,"['Drama', 'Afterlife', 'Bar', 'High Stakes Games', 'Play or Die', 'Psychological', 'PVP', 'Supernatural', 'Thriller', 'Mature Themes', 'Physical Abuse', 'Original Work']",[''],28223
Violet Evergarden,https://www.anime-planet.com/anime/violet-evergarden,"['Drama', 'Lifestyle Change', 'Melancholy', 'War', 'Violence', 'Based on a Light Novel']",[''],33352
Fairy Tail,https://www.anime-planet.com/anime/fairy-tail,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Elemental Powers', 'Guilds', 'Magic', 'Based on a Manga']",[''],6702
Kill La Kill,https://www.anime-planet.com/anime/kill-la-kill,"['Action', 'Comedy', 'Ecchi', 'Sci Fi', 'Aliens', 'Animeism', 'Conspiracy', 'Rebellions', 'School Life', 'Superpowers', 'Swordplay', 'Transfer Students', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Violence', 'Original Work', 'Domestic Abuse']",[''],18679
Rascal Does Not Dream of Bunny Girl Senpai,https://www.anime-planet.com/anime/rascal-does-not-dream-of-bunny-girl-senpai,"['Drama', 'Romance', 'School Life', 'Senpai-Kouhai Relationship', 'Supernatural', 'Based on a Light Novel']",['Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai'],37450
Kaguya-sama: Love Is War?,https://www.anime-planet.com/anime/kaguya-sama-love-is-war-2,"['Comedy', 'Drama', 'Romance', 'Seinen', 'Episodic', 'Love Confession', 'Mind Games', 'School Life', 'Student Council', 'Based on a Manga']",['Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen'],37999
Kaguya-sama: Love Is War,https://www.anime-planet.com/anime/kaguya-sama-love-is-war,"['Comedy', 'Drama', 'Romance', 'Seinen', 'Episodic', 'Love Confession', 'Mind Games', 'Romantic Comedy', 'School Life', 'Student Council', 'Based on a Manga']",['Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen'],37999
Dr. Stone,https://www.anime-planet.com/anime/dr-stone,"['Adventure', 'Comedy', 'Sci Fi', 'Shounen', 'Educational', 'Person in a Strange World', 'Post-apocalyptic', 'Prehistoric', 'Survival', 'Based on a Manga']",[''],38691
One-Punch Man 2,https://www.anime-planet.com/anime/one-punch-man-2,"['Action', 'Comedy', 'Sci Fi', 'Seinen', 'Cyborgs', 'Monsters', 'Overpowered Main Characters', 'Parody', 'Prophecy', 'Satire', 'Superheroes', 'Superpowers', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Based on a Manga']",[''],34134
Another,https://www.anime-planet.com/anime/another,"['Horror', 'Mystery', 'Countryside', 'Curse', 'Psychological', 'School Life', 'Supernatural', 'Transfer Students', 'Mature Themes', 'Physical Abuse', 'Suicide', 'Violence', 'Based on a Light Novel']",[''],11111
